Mensaje,Fecha
Te amo,2/3/2024
Love you ,1/29/2024
Le amo ma ❤️,2/1/2024
Eres la mejor te quiero mucho ,2/1/2024
Te amo arielinnnnnnnnnnnnnnnnn,1/25/2024
te amooo guapa,1/30/2024
My valentine <3 T amo ❤️,2/7/2024
"Eres mi vida entera, te amo",2/6/2024
Te quiero full andy,2/7/2024
Se te quiere 🫵🏼😭💗,2/5/2024
Tqm mi amiguita ,2/2/2024
Feliz día Javibiii,1/25/2024
Pa lamás linda demi ganadoJAJA,2/10/2024
animaleto me caes mal ,2/6/2024
negra pocahontas para ti ,2/8/2024
Para mí hermosa princesa ,2/7/2024
Te quiero amiga 😊,2/8/2024
Mi corazón te amo mucho ,2/5/2024
❤️,2/6/2024
Hola Ale Feliz San Valentín ♡,2/7/2024
tqm Faby ,1/29/2024
Para mi cachetitos bonitos ,1/31/2024
Te quiero mucho mvd <3,2/4/2024
Te amo mucho mi Shifu ,1/29/2024
Te quiero mucho heather bonita,2/7/2024
Tú puedes! ♡,2/4/2024
feliz valentineees mi amoooor,2/7/2024
Gracias por todo lo bonito<3,2/5/2024
Te amo mucho ❤️ Guapa ,1/30/2024
Me gustas tontis.,2/5/2024
Te amo con todo mi ser 🫶🏽,2/1/2024
te amo mi ojitos chinos ,2/8/2024
Me caes full bien te quiero ,2/9/2024
Feliz dia de la amistad <3,2/9/2024
Rafa t amo con todomi corazón,2/4/2024
te amo evita enojona ,2/5/2024
Te amooooo mi niña linda ,2/10/2024
Para el novio más lindo <3,1/29/2024
:v,2/1/2024
Te amo negro teton ,1/31/2024
te amo mucho,2/3/2024
Love u mi negro <3,2/2/2024
Feliz  San Valentín amor <3 ,2/8/2024
Crece porfa toma pediasure ,2/1/2024
"T amooo, feliz día mi niña <3",1/30/2024
Tqm  ñañiel 🫶🏻,2/6/2024
De parte de tu presi :),2/10/2024
tqm milu ♡,2/7/2024
♥,2/8/2024
"💕  My daylight, My lover  💕 ",2/8/2024
de quien crees que es pues N.,2/7/2024
tqmm amistad <3,2/1/2024
Te quiero mi ratatuil,1/27/2024
Te amo con todo mi corazón ,2/8/2024
para mi caracolita favorita,1/31/2024
❤️Te amo Claudia,2/8/2024
yo nunca pierdo ;),1/30/2024
Te amo más que ayer ....♡,2/4/2024
Para ti mi Lu,2/8/2024
Te quiero mucho mejor amigo,2/10/2024
Te amo chiki beibi my love,2/3/2024
Pa tu:),2/6/2024
tqmuchotee bobo <3,2/4/2024
Te quiero zumi ,1/30/2024
ya trátame bonito,2/7/2024
teq quiero full ame ,2/7/2024
Te amo mucho y me haces feliz ,2/8/2024
Te quiero ❤️,2/4/2024
  t amoo chiquilla,2/8/2024
te amo mil ratita,2/8/2024
ERES MUY ESPECIAL TKM,2/6/2024
TE AMO TANTO LONGA DE MI VIDA,2/10/2024
Te amo soso,2/6/2024
eres muy especial para mi ❤️,2/6/2024
tqm nemiiiiiiii,2/6/2024
Tqm Aitilu mi casita<3 ,2/9/2024
"Tqm, amigo",2/5/2024
Tqm Romiiiii ,2/1/2024
Te amo un mundo cuchurrumina ,1/31/2024
Te quiero ,2/2/2024
🫶🏻,2/8/2024
feliz dia de la amistad❤️🍫,2/7/2024
Que las disfrutes ,2/7/2024
Feliz día princess,1/30/2024
para mi chiquitilina,2/2/2024
Para mi hermana favorita 💗,2/6/2024
Te Quiero Mucho,1/30/2024
Te amamos 🤍,2/6/2024
:),1/29/2024
Feliz San Valentín amor <3,2/10/2024
Te quiero🫶,1/26/2024
Extraño darnos de putazos ㅠㅠ ♡,2/6/2024
te amo cuchurrumi ,2/7/2024
Te quiero bonita💞,2/6/2024
Tqm pitufa,2/9/2024
Tu primo que te qre mucho💗,1/29/2024
MAITEEEEEE,1/29/2024
"Feliz SV mi Alannita, TQMM ❤️",2/9/2024
para ti mi sammy🥰,2/6/2024
para el q me debe sus gorras ,1/27/2024
Me caes mall 🫶🏻,2/7/2024
Pt,2/10/2024
Me quererte mucho espositoo,2/7/2024
Tamito,2/5/2024
Te amo pequeña,2/1/2024
TQM mejor amigo <3,2/7/2024
:p,2/6/2024
Perdón por todo 😭,1/25/2024
Holis,1/25/2024
Tqm dislexica ,1/29/2024
Feliz san Valentín tqm!!! ,2/7/2024
Te amo ❤️‍🩹,2/5/2024
Te amo mucho muchacha ❤️,2/7/2024
Duplaaa🐐,2/9/2024
"Te amo te amo mi 43, eres mío ",2/6/2024
Espero que lo disfrutes ,2/10/2024
🧡,1/30/2024
T AMO BIAA,2/6/2024
me haces sentir algo inefable ,2/6/2024
Para  que no seas  odiosa ,2/9/2024
Te quiero mucho Jose,2/8/2024
Te amo mi niño.feliz 14 ,1/26/2024
Agradezco tu amistad,2/7/2024
te amo musho :3,2/5/2024
tqmmm Joss gracias por todo <3,2/9/2024
Te amo muchoo ,2/8/2024
Tqmm Amoor <333,2/8/2024
LVYYY juan broskito,2/8/2024
Te amo mi niña ❤️,1/26/2024
"Tqm, gracias por tu amistad.",2/6/2024
Vamos a nadar al Lago San Pabl,1/25/2024
pute,2/1/2024
El reflejo de tu belleza ,2/9/2024
mi yuli hermosa te amo mch:),1/25/2024
Teamo sol de mi corazón ,2/9/2024
Te amo aby 🫶🏻,2/6/2024
TQM NIÑA,2/5/2024
Holaaaaaaaaaaaaaaaaaaaaaaaaaaa,2/6/2024
Se te quiere,1/28/2024
Felíz día Carlitos,1/29/2024
"Te quiero mucho, bailar juntas",2/8/2024
para ti mi lu,2/8/2024
Eres lo mejor;),1/25/2024
te amo mar mar ,2/5/2024
Te amo un mundo mi ame 🫶🏽,1/25/2024
Sabes que se te quiere manita🥰,2/5/2024
De tu bff,2/10/2024
Para ti obvio mi vida,2/1/2024
Azuuuuuuuuuul Te amo 💙,2/5/2024
La quiero aunq ya no esté 🫶,1/26/2024
Maxi 1 ♡,2/8/2024
te amo Bruja,1/31/2024
Toma niño 🤗,2/6/2024
Quizá en otra vida ,2/7/2024
Me negra :3,2/8/2024
Lvysm César ,2/8/2024
Crece poquito más 🫶,2/7/2024
Tqm Nathy feliz san Valentín 💗,2/3/2024
Para que me recuerdes.  TQM,2/5/2024
Gustavo enamorado,2/8/2024
Gracias por tu valiosa amistad,2/8/2024
Tamo mucho mi niña hermosa,2/6/2024
Eres una gran amiga!,2/6/2024
te quiero mi friend,2/5/2024
Teamo ,1/31/2024
Te quiero muchísimo muaa,2/5/2024
tqm korazom ,2/2/2024
Pau te quiero mucho 💗💗,2/5/2024
🤎🎀,2/7/2024
Para la más linda y loca,2/2/2024
Te amo un mundo bonito ,1/31/2024
Gol,2/8/2024
Love you ,2/8/2024
Tkm ,2/10/2024
Te amo mucho miamol :)))),2/8/2024
Pa mi realll de siempree:),2/8/2024
love u andy te amo ,2/3/2024
TQM ANINITA,2/1/2024
"Te amo sofi, besitos y abrazos",1/29/2024
Siempre te llevo en mi corazón,2/8/2024
Te amo ❤️,1/26/2024
FelizSanValentín Mily disfruta,2/6/2024
Feliz San Valentin hermano <3!,2/7/2024
por más tik toks sus,1/26/2024
"You're so pretty,bitch <3",1/30/2024
te tqm,2/6/2024
Te amo Moralitos,2/2/2024
Para una sonrisa contagiosa,2/7/2024
me gustas mucho  eres mu lindo,2/2/2024
Gracias por la ducha y la cama,1/28/2024
Tú ña favorito :) tqm,1/31/2024
"Te quiero muchoo, ya crece xfa",1/31/2024
Para la dueña de mi corazon..,2/4/2024
Con amor ,2/8/2024
Con cariño,2/8/2024
Pal amor de mi vida 💗,2/2/2024
Ya démonos chance ,2/6/2024
Te quiero full mi Ari,2/7/2024
T odio,2/5/2024
tamo muchote feo,2/2/2024
Feliz San Valentin Mati tqm ,1/30/2024
Feliz San Valentín.I ❤️ you ,2/6/2024
la quiero asi no hablemos much,2/6/2024
Te amo muchoooo ,1/31/2024
Te quiero mucho❤️💕<3,2/7/2024
TQCA,1/26/2024
Te queremos ña ❤️ portate bien ,1/30/2024
Me caes un poquito bien JAJAJA,2/6/2024
To my bestie Love U ,2/9/2024
dile al fumeta que no c meta ,1/30/2024
"Tqm, metalero ",2/6/2024
Hablemos mas 😔,2/9/2024
Feliz 14 bonito mio t amo ,1/30/2024
Te mereces esto y mas mi amor💗,2/10/2024
I love you💗,2/6/2024
Tú sabes quien soy,2/5/2024
Feliz San Valentín isa tqm 💗,2/3/2024
Te amo mucho corazón 🫶🏼,2/8/2024
Uwu ,2/5/2024
Tqm Cindy,2/8/2024
I love mi real ,2/7/2024
Teamo mi solcito,2/4/2024
Eres una persona amable :) ♥,2/6/2024
Te quiero mucho 🫶🏻,2/5/2024
Para un kanyesito :),2/1/2024
Amiguita,2/8/2024
Viva The Weeknd,2/1/2024
feliz san Valentín luci pussy,2/3/2024
Felíz San Valentín!,2/7/2024
Feliz día mi negra ,2/7/2024
Te amo almejita,1/26/2024
Solo dire que eres increíble ,1/29/2024
Tu compañera del recorrido💕,2/1/2024
Vikycita,2/8/2024
Te quiero negra ,1/30/2024
:) ,2/5/2024
♡,2/7/2024
hola guapo jajajaja soy JJ,2/2/2024
Se te extraña y tus babosadas.,2/8/2024
Te amoooo att:danita,2/6/2024
Te amuuu,2/8/2024
Te amo mucho mi peque 💗,2/7/2024
Feliz san valentín guapis,2/7/2024
te quiero vicky :),2/8/2024
te quiero mucho Massi ,2/5/2024
Gracias profe por ayudarnos ;),1/26/2024
Te adoro Awitas,2/8/2024
no se,2/8/2024
Feliz San Valentín,1/29/2024
Tqm ñeñee <3,2/6/2024
Espero t guste;),2/8/2024
T amo somse💘,2/8/2024
Mi primera bff que amo full,2/8/2024
Te quieroo mucho mi amoor💗,2/9/2024
Para ti chiki baby,2/9/2024
Eres maravillosa 🐟💘,1/30/2024
T amo,2/7/2024
con mucho amor,1/30/2024
Te amo no lo olvides ,2/8/2024
Tú sabes que te quiero 💕,2/7/2024
Te amo con toda mi vida ,1/29/2024
Feliz San Valentin,2/6/2024
"te amo, ojala te guste mucho",2/5/2024
te amo lu 💗,2/3/2024
T amo mucho toraaaa💗,2/3/2024
TE AMO NUNI 💘,2/9/2024
T mereces tdo lo lindo micielo,2/8/2024
para ti princess 😳,2/9/2024
Feliz San Valentin❤️❤️,1/31/2024
Kaeloplinplin ,2/7/2024
Pásame las tareas mi amor,2/7/2024
te amo valesita :3,1/25/2024
Te amo mi niña hermosa ❤️,1/30/2024
TQMM 💗,2/8/2024
Te quiero muchote <3,2/9/2024
Feliz día profe,2/5/2024
Te amo mucho Feliz 14 mi amor ,1/30/2024
teamo cami,2/6/2024
"tq, niño de la lechugeria<3",1/30/2024
T amo dannita linda gracias td,1/30/2024
"Para que tengas algo, tonto <3",2/8/2024
"Mi cielo, eres mi lugar feliz.",2/6/2024
Te quiero muchooo <3,1/29/2024
Tqm  Nico,2/7/2024
Tqm Ari bb <3,2/5/2024
feliz dia !! ,2/9/2024
Para tuu,2/6/2024
tqm gracias por ser quien eres,2/1/2024
Para mi dúo dinamita en voli 🫶,2/9/2024
ole😝,1/31/2024
"Tkm, c te extraña <3",2/6/2024
Tqmm niña <3,2/5/2024
Un pequeño regalo de mi parte,2/6/2024
Espero te gusten jaja ♥️,2/9/2024
Holaaaa,2/7/2024
Dicki por una amistad eterna.,2/10/2024
T amo mi culonaa💗💗💕💕,2/6/2024
Te amo mi Gaby fiu fiu ,2/5/2024
Para mi pichoncita ❤️,2/7/2024
Feliz san Valentin 🥰,2/1/2024
te quiero mucho ve ❤️,2/7/2024
Te amo tonta ,2/7/2024
TQM ABII <3,2/4/2024
Para Jhosue con mucho amor ??,2/1/2024
Te amo vere💗,2/6/2024
Feliz San Valentín ❤️,2/5/2024
Por siempre incluirme.,2/8/2024
Feliz San Valentín 🙂,2/9/2024
Tqmm Danitaaa,1/31/2024
para la más preciosa ilyy,2/7/2024
Ven a verme ya sabes quien soy,1/30/2024
Te amo precioso mío <3 ,2/9/2024
Ya sabes de quien:X,1/29/2024
Tqm peso pluma 😻,2/3/2024
Por nuestra amistad ,2/8/2024
T kiero musho,2/9/2024
Te quierooo,1/27/2024
Feliz san Valentín bot :) ,1/29/2024
De tu amorcito secreto 😏,2/7/2024
Te amo mi vicky hermosa :),2/5/2024
Pa alerex ♡,2/8/2024
:) feliz san valentin Ana Pau,2/7/2024
Te quiero ñaño,2/4/2024
Espero que lo disfrutes,2/4/2024
Te amo linda 🫶,2/5/2024
Gracias x ser mi amiga ,2/4/2024
💗💗,2/8/2024
oliNatas espero te guste muak ,2/7/2024
Feliz día de la amistad ,2/2/2024
Para mi persona favorita 💗,2/8/2024
TE AMO PUTEE,2/6/2024
"Te amo Tromi, rhlm ❤️",2/6/2024
Te amo mi vida entera ,2/6/2024
Te quiero mucho Camii❤️,2/5/2024
Megustas ,2/2/2024
tkm mejor amiga somos para ♾️,1/30/2024
Para  tí <3,1/25/2024
Tamo como una bola de Aguacate,2/1/2024
Tqm negro🧟,2/1/2024
Tqm Maeee,1/31/2024
tamito mi color morado,2/7/2024
Ya matate,2/7/2024
love u 💗,2/8/2024
La deno maltratar te la sabes?,2/6/2024
"Feliz día bella, tqm :3",2/9/2024
TE EXTRAÑO MUCHO ,2/1/2024
Para el bandido,2/8/2024
De parte de tu amorcito,2/7/2024
Te amo mi chikibebe,2/6/2024
para el mas feka,2/9/2024
Te amo corazón 💕❤️😽,2/8/2024
⭐,2/6/2024
Tqm parce 💗,2/6/2024
tqm erikolita 💘,1/31/2024
Gomitas de parte de tu bestie ,2/7/2024
moggeada,2/5/2024
Tenkiu por hacerme los deberes,2/8/2024
holaqueso,2/7/2024
Feliz día de la amistad ✧,2/6/2024
Te amo mi bonito ❤️,2/8/2024
TE SACAS YA NO HAY MÁS AMISTAD,2/8/2024
Te quiero con mi alma,2/6/2024
Feliz día tomatito 💗,2/1/2024
Te quiero💕,2/1/2024
plei?,2/6/2024
Te quiero mucho <3,2/9/2024
Tqm sigue adelante Dome,2/7/2024
"Te adoro mi niña, te extraño ",1/26/2024
Solo pq t quiero boba! ,2/5/2024
De:MG Para: bárbara hidrobo,2/9/2024
Disfrutaaa tqm,1/26/2024
Gracias por tu amistad.,2/10/2024
Guapa sabes que me encantas 💗,2/2/2024
Confirmen para ir a tomar🗣️🗣️🗣️🔥🔥,2/6/2024
Te adoro Mae 💗,2/4/2024
T quiero muchisimo Saraa,2/6/2024
Tú eres mi persona especial,1/30/2024
Te amo Ratita,1/25/2024
Holaaa,2/2/2024
"Hola Anaa, ten un lindo día :)",2/8/2024
Negro tqm,2/7/2024
Estefanía ,2/7/2024
Para mi turroncito de azucar,2/10/2024
Se le quiere,2/3/2024
Nunca espectadora mi jani,2/9/2024
💗,2/9/2024
te quiero mucho camilu,2/5/2024
 ,2/4/2024
Admirador secreto,2/7/2024
Te quiero muchoo <3,2/2/2024
Tamo mucho Marta,2/9/2024
Feliz San Valentín te quiero ❣️,1/25/2024
Te quiero mucho :3,2/8/2024
para mi botsita linda ,2/4/2024
Tqm bestie,1/25/2024
holi feliz dia mi name is A...,2/8/2024
Te quiero bonita ,2/7/2024
Te quiero mucho prima❤️,2/7/2024
Eres el amor de mi vida socio,1/25/2024
Para mi cebra favorita,1/27/2024
T amo muchisimo giss <33,2/5/2024
En está y la última vida,1/25/2024
Love you mi princesita 💗,2/5/2024
Me vuelves loquita ,2/5/2024
🫶🏻💗,2/7/2024
Un regalo por odiosa 😘,2/9/2024
Bonito día ❤️,2/2/2024
No me olvide de ti tqm <3,2/2/2024
te odio,2/9/2024
Te amo Brillitos,1/25/2024
Te AMOOO <333,2/10/2024
Te amooo mi bonita,2/6/2024
te amo chikistrikis muak,2/7/2024
Te queño mucho ñañito,2/4/2024
te amo con toda mi alma Nani. ,2/6/2024
Tkm <3,2/6/2024
Feliz San Valentín te quiero ❤️,1/30/2024
love u abiii ,1/25/2024
"Si nadie te dio, yo te lo doy",2/1/2024
Para la niña más linda <3,2/2/2024
Feliz san valentín fer 🕺,2/3/2024
Feliz San Valentín ❤ Tqm,2/4/2024
"Para tu, Feliz día",2/7/2024
Renata Ramon para ti :D renaul,2/8/2024
Para mi huevo lento favorito  ,2/2/2024
Feliz 14 Sarita ,2/5/2024
Un dulce para otro dulce. xoxo,2/10/2024
I LOVE you ,2/4/2024
❤️❤️,2/10/2024
Feliz día Bella ,1/30/2024
Feli día ;),2/9/2024
Y si me das la revancha? 🏀,2/8/2024
Chiquito panzón ,2/7/2024
me tienes en todas xq,2/2/2024
TQM,2/5/2024
Quiero invitarte a no dormir.,2/8/2024
Feliz Día  te amo gatito 🖤,2/6/2024
Soy tan afortunado de tenerte,2/10/2024
Nunca me olvides<3,2/7/2024
Tu pelado (Teamo),2/7/2024
tmb dale a la kriss,1/31/2024
eres una guapota tqm<3,1/26/2024
Feliz San Valentin loco enano.,2/7/2024
Tqm ,2/7/2024
El amigo mas cercano que tengo,2/4/2024
gracias por tu amistad,2/9/2024
"Feliz San Valentin, tqm ",2/7/2024
TQM amiga mía <3,2/3/2024
Te quiero Emi ,2/1/2024
Feli San valentin ña :],2/6/2024
Feliz primer San Valentín ,2/5/2024
Feliz 14 perra ,2/6/2024
TQM Anónimo ,2/6/2024
Feliz san valentin mi llaveee,2/9/2024
TE AMOOOOO ,2/7/2024
Para la personita más linda,2/7/2024
<3,1/30/2024
Tq nicooo 🩷,1/29/2024
Tqm alma gemela. ,1/26/2024
Te quiero bebé ,2/8/2024
Gracias x ser mi mejor amiga,2/6/2024
"Feliz día alma gemela, te amo",1/25/2024
Preciosa te amo <3,1/25/2024
Guapo 😘 ,2/6/2024
Tamopreciosaereslomejor💗,2/1/2024
te amo bonitaaa,2/7/2024
Gracias por ser mi mejor amigo,1/25/2024
los tqm<3,1/31/2024
te quiero mucho 💚,2/7/2024
te amo,1/28/2024
Para la mas hermosa te quiero♡,2/4/2024
"te amo, lindo 💗",2/6/2024
Te quiero un montón,2/2/2024
"Te quiero mucho, por más fugas",2/8/2024
te amo mehaces feliz siempreee,2/6/2024
tq linda,2/1/2024
Te quiero mucho Ari ,2/4/2024
Ingratanomedigasquemequieres,1/30/2024
Feliz día de amor y la amistad,2/9/2024
Te amoo tefitaa💗😍,2/8/2024
Feliz san valentin mi niña,2/1/2024
Entre looksmaxers nomás 🤫🧏‍♂️,2/6/2024
tqm Naho linda ♡,2/7/2024
Te amu flaca no me olvides<3,1/25/2024
Te quiero mi Yuli ,2/1/2024
TE QUIERO MUXO KIMA,2/4/2024
"Te amo mucho, nunca me faltes.",1/25/2024
tqm Ñaña <3,2/5/2024
teamo peuqueña linda 💗,2/8/2024
Eres un solcito 🔅,2/7/2024
Crece pitufa ,1/26/2024
Felíz Día ,1/28/2024
Te amo y quisiera que volvamos,1/31/2024
Porque somos del mismo colegio,1/29/2024
Feliz diaaaaa te quiero mucho♡,2/7/2024
mandame uno 😡,2/1/2024
Te quiero mucho mi niña linda!,2/7/2024
Te amo mucho ❤️,2/6/2024
Me invitas al cine?,2/7/2024
No hay plata 😔,2/6/2024
Tqm mailove 💗,2/7/2024
Mi teton favorito ,2/8/2024
felizzzz san valentinn,2/2/2024
tqm niña ,2/6/2024
Te adoro Vargasss,2/6/2024
Para el niño más lindo,1/29/2024
🤗🤗🤗🤗🤗🤗,2/6/2024
Para ti homosexual 🤍,1/25/2024
TQM <3,2/6/2024
te quiero mucho angieee,2/5/2024
DAME UN ÚLTIMO BESO ,2/5/2024
Para la pensante,2/9/2024
Te quiero mucho <3,2/1/2024
Solo t ofrezco cariño sincero ,2/5/2024
😘,2/8/2024
Lob u bby happy valentines day,2/9/2024
TQM ,2/9/2024
Te quiero muchoo Rafita linda,2/8/2024
Feliz día emy linda ,2/9/2024
para la mejor plima del mundo,1/31/2024
Para mi princesa hermosa <3,2/6/2024
Para mi querida Katy 💖,2/7/2024
mentira no sos boba guapa si ,2/3/2024
; ),2/8/2024
Mwop mwop mwop ,2/5/2024
Miss u tons. Love u,2/8/2024
de: alguien muy cercano a ti ❤,2/9/2024
Bonito día.,2/5/2024
Feliz San Valentín Noha 🫶,2/7/2024
feli jaño,1/30/2024
"Te amo guapa, eres genial.",1/25/2024
"Para mí guapa❤️, t amu",2/5/2024
Gracias por tu amistad..,2/5/2024
Te quiero mejor amiga,2/1/2024
"Mi sofy hermosa, te amo mucho.",1/31/2024
love u loca ♡︎,1/25/2024
Mi Rapha te extraño mucho <3,2/7/2024
La más random ,2/6/2024
De tu mejor amigo tq,2/8/2024
Para la amiguita ,2/8/2024
Tamytam tekiero,2/8/2024
Hodi,2/8/2024
Te amo enana,2/7/2024
Seguro t pierdo  ¨- 1:34 ,2/9/2024
Te amo mi pao ,2/7/2024
Felíz día muak,2/8/2024
te quiero mucho mucho,2/7/2024
Voy aver que compartir tqm ,2/10/2024
Yoyoyo no me apcanzo para mass,2/6/2024
Feliz dia Vica bonitaa,1/25/2024
T extraño Granizo,2/9/2024
con esto estamos pagados,2/7/2024
tqm,2/8/2024
Te guapa ,2/4/2024
Feliz San Valentín Mica <3,2/5/2024
Te amo Ferxs <3,1/31/2024
Añeñe,2/9/2024
Feliz San Valentín al más sapo,1/30/2024
Feliz Halloween P.D. 😜,2/6/2024
bebecito,2/5/2024
Para cuando soy la oficial,2/1/2024
holis,2/8/2024
te amo y extraño un montón <3,1/26/2024
Gracias x todo :3,1/28/2024
Te amo blancaa,2/2/2024
Tqm preciosa 💗,1/27/2024
Hay que vernos pronto <3,2/7/2024
Para mi bobita bonita <3,2/5/2024
Te amo guapa,2/5/2024
Se te quiere martinita. Ari.,1/26/2024
Loree te quiero muchoo,1/26/2024
🐧🌷Feliz San Valentín mai lob💗,2/5/2024
🥳🎶⚽️🤩💕,1/31/2024
Mi hermosa 💖 ,2/9/2024
"FC negro, me caes bien.",1/31/2024
Te amo tina<3,1/25/2024
Te odio ,2/8/2024
te amo bonita mia ,2/6/2024
tqm 💗,2/3/2024
Te amo fiorellita:3,2/7/2024
🤍,1/25/2024
T amo m wawita (1ro B conta),2/7/2024
Te amo,2/4/2024
Feliz no San Valentín Chipi ,2/5/2024
Te quiero mucho mi niño.,1/31/2024
Tkm mariii💗,2/8/2024
Puerco espin muak <3,2/4/2024
TQM bonita ,2/10/2024
Te adoro✨,2/1/2024
Para mi único y precioso amor ,2/6/2024
Ten un lindo San Valentín ,2/7/2024
Te quiero mucho mami ,1/30/2024
Feliz 14 mi kiompi <3,2/5/2024
I love You <3,2/7/2024
Para el amor de mi vida ,2/6/2024
para mara miaw,1/30/2024
Te amo mucho,2/6/2024
Te quiero mucho 💙,2/9/2024
Te amo mucho bb feliz dia ,2/7/2024
Te quiero mucho <3,1/29/2024
Eres la mejor mi corona te amo,2/10/2024
TE AMO CAMILA AMAYA <3,2/5/2024
te quiero mucho mi pendeja,2/8/2024
rata<3,2/8/2024
Te amo mi Amor ❤️,2/7/2024
Evo i love you ,2/6/2024
"te amo, ya? ",2/9/2024
Holaa Emi mi bestie :),1/30/2024
Pa que no llores ,2/6/2024
Te amo mi Amor ,2/8/2024
!Feliz San Valentín Ñaña TQM!,2/8/2024
t amodio valee,2/1/2024
tu eres mi fav te quelo muchoo,2/1/2024
<3,1/25/2024
Te quiero más q a la Martina 💗,2/5/2024
Para la mas grande del Ecuador,1/29/2024
Para mi basquetbolista fav,2/7/2024
Te quiero mucho Domecita linda,2/9/2024
Te adoro nañito,2/8/2024
Te amo!,2/8/2024
Te quiero mucho naho 💕,2/6/2024
¿Quieres compartor?<3,2/7/2024
Te amo demasiadoooo <3,2/5/2024
te amo  eres el amor de mi vid,1/31/2024
ya sabes quien soy....,2/7/2024
Mivida<3,1/30/2024
Te quiero mucho ,2/3/2024
T amo mucho mi niño Spiderman💗,2/9/2024
Tqm mi niña hermosa ,1/30/2024
You know ,2/8/2024
"Florecita?, te amo veve ♡",2/7/2024
Te quiero muchísimo 💝💝,2/7/2024
te quiero mucho ñaño ,2/8/2024
" Te amo, gracias por todo geme",2/9/2024
:D ,2/8/2024
Ti amo Feli San Valentín<3,2/6/2024
JapiValentinestqm<3,2/9/2024
Para ti estupide eres lo mejor,2/9/2024
Negra mi amor te amo mucho,1/30/2024
j,2/8/2024
Felíz día mi niña ,1/31/2024
Te quiero mucho mi vida mua ♡,1/27/2024
Gatita ,2/7/2024
Te amoooooooo <3,2/6/2024
Para el amor de mi vida,2/7/2024
Te Quiero 🤍,1/30/2024
Feliz San Valentín Bella <3 ,1/31/2024
Para mi fan favorita <33,2/8/2024
Love u  mi Nicki ,1/30/2024
TE AMO MI AMOR ❤️,2/6/2024
Para mi niña de ojos lindos ❤❤,2/7/2024
Por fa consigue dignidad ,2/7/2024
Eres la mejor mequita! ,2/7/2024
Beso en la frente.,2/6/2024
Te quiero sora umilde ,2/5/2024
Tuki💕,2/5/2024
eres la princesa de mamá.,2/4/2024
Te quiero❤️,2/7/2024
Te quiero demasiado Coco bruto,1/25/2024
Hellooooo😘,2/8/2024
De tu persona fav 💝,2/9/2024
Para la niña más preciosa <3,1/26/2024
T quiero Fioresita 💕,2/6/2024
Para ti valuuu ,2/8/2024
Princesa!!,2/7/2024
Los extraño mucho (◞‸◟).｡o♡,2/6/2024
Bonito días... ,2/5/2024
Siempre voy a estar para ti <3,2/8/2024
Perd´on por todo enserio <3 <3,1/31/2024
gracias por todo mi chepesoide,2/8/2024
te amo kamilita ,2/5/2024
tqmgei,2/3/2024
Eres un buen amigo,2/6/2024
feliz san valentin,2/9/2024
"Feliz San Valentin Vic, tqm🌸",1/25/2024
Besitos besitos,2/7/2024
Te quiero mi Yulis,2/8/2024
Por ser especial,2/7/2024
Toma un regalo shushu,1/30/2024
Leo tqm que la pases súper 💗💗,1/31/2024
Ya tienes tus flores se feliz ,2/4/2024
Tqm jotron de mi vida ☆,2/6/2024
"Te amo mi vida, rhlm ❤️",2/6/2024
Te amo NIcki NICOLE 😻💕,1/29/2024
Te amo bobo❤️,1/25/2024
Que tengas un feliz día,2/6/2024
La más pro en dibujar ,2/7/2024
Te amoo💕,2/3/2024
Disfruta de unas gomitas :) ,2/7/2024
Para ti uwu ,2/8/2024
Te quiero mucho mi amor 💝,2/6/2024
Te quiero mucho gigi ,2/6/2024
Te amo mucho boba 💕 ,2/2/2024
Te amo☆♡,1/31/2024
Esto es para ti mi amigo 😄💕,2/7/2024
Te amo mucho amorsele ♡,2/5/2024
Tu regalito c:,2/9/2024
Te amito a pasos de tortuga ,2/7/2024
eres muy lindo <3 ,2/6/2024
Te amo full hermosa muakatelas,2/7/2024
Me caes tan mal,2/7/2024
teamo sky,2/7/2024
Te amoo 🫶🏻,2/5/2024
Te amo mi ñeñi,2/8/2024
Te amo mucho 💗,2/5/2024
Te extraño loca ❤️,2/8/2024
Para mi niño hermoso  ;),1/29/2024
teamomiamorsh,2/9/2024
 I'd marry you with paper ring,2/9/2024
Sebas <3 ,1/30/2024
Te amo simone ,1/25/2024
Hola ^^,2/8/2024
Tq Pablitooo <3,1/29/2024
T quiero sapa Guarda al nahual,1/30/2024
T quiero bobo 💗.,2/7/2024
Feliz San Valentin tkm <3,2/9/2024
Feliz día Majo ,2/8/2024
UwU,2/6/2024
Te amo Fifita,2/8/2024
Feli San Valentín Mía lindaa♡⁠,2/8/2024
Hol.. feliz San Valentín TQM ,2/9/2024
💕,2/7/2024
💋,2/8/2024
Te quiero mucho Dannitaa,2/7/2024
Att: me debes un beso  ,2/8/2024
Por ser bonita Att: S,1/29/2024
T quiero chiquis ,2/6/2024
hola amigue XD,2/1/2024
tu sabes quien yo feliz dia,2/9/2024
Gaby te amo mucho!!,2/9/2024
"I really miss you, forgivenes?",2/9/2024
Feliz SanValentin mejor amigaa,2/7/2024
Beeees ,2/5/2024
pandaaaaaaaaaaaaaaaaaaaaaaaaaa,2/10/2024
Te amo luci gracias por todo,1/30/2024
Se le quiere mi pana,2/9/2024
Ahi viene una en la tirrroles,2/2/2024
"Regalito especial, for you <3",2/8/2024
